LMP14_D_S,Clawdd/Hedgebanks,Developed,Fences,Fences With Trees,Hedge With Trees,Managed Hedge,Mixture,None,Overgrown Hedges,Slate Fences,Stone Walls
Coastal edge,0,0,9.02,0,0,0,4.82,459.12,0,0,47.07
Developed (amenity),0,0,10.84,0,0,0,31.25,7.45,0,0,0.67
Developed (communities),0,950.57,0,0,0,0,0,0,0,0,0
Developed (industry),0,0,46.91,2.51,0.28,0,20.99,20.830000000000002,0,0,0.81
Lowland (wooded & wetland),14.559999999999999,0,41.2,0,150.93,74.74,84.16,72.96,37.84,0,26.869999999999997
Lowland valleys (hedgerow),303.13,0,0,0,975.77,488.71,1347.7,0,10.15,0,69.81
Lowland valleys (open),354.21999999999997,0,71.51,7.22,264.74,1239.7,1486.03,47.89,26.23,0,27.68
Upland (grassland),201.78,0,482.28,18.09,573.85,1015.6,1643.24,160.61,308.32,3.53,517.61
Upland (moorland),9.84,0,42.019999999999996,22.23,9.77,0,150.52,2200.89,0,0,633.41
Upland (rock),0,0,0,0,0,0,0,172.43,0,0,0
Upland (wooded hills),0,0,16.53,0,124.27,103.43,147.68,297.06,3.66,0,0
Upland (wooded),14.2,0,356.13,7.61,718.46,392.94,1045.11,427.36,277.28,0,104.61
Water (inland),0,0,12.24,0,0,1.33,23.330000000000002,69.12,0,0,0.27
Water (sea),0,0,0,0,0,0,0,95.53,0,0,12.25
